X,Y,Northeast,North,Center,West_SLOPE,Northwest,SouthEast_,East,South,SouthWest
1201251.936023622751236,1128329.840879261493683,,,31.87744,,,,,,
1201011.774606302380562,1127712.521653547883034,,,17.42777,,,,,,
1200816.576115489006042,1127042.874015748500824,,,50.42132,,,,,,
1196423.197506561875343,1110538.348097115755081,,,8.28000,,,,,,
1190176.95833332836628,1101183.164041996002197,,,1.30998,,,,,,
1186169.579396322369576,1097405.195538058876991,,,8.47908,,,,,,
1185441.548884510993958,1097833.71325458586216,,,0.92638,,,,,,
1185422.195866137742996,1097903.002952754497528,,,16.35647,,,,,,
1184238.118110239505768,1098481.325131237506866,,,16.20946,,,,,,
946923.544947504997253,339163.795931756496429,,,,,,,,28.82034,
946692.825131237506866,338171.051509186625481,,,,,,,,17.29050,
946199.500984251499176,337378.582349076867104,,,,,,,,15.30805,
945418.472769021987915,336915.561679795384407,,,,,,,,14.90316,
943555.997703418135643,336705.43503937125206,,,,,,,,26.06489,
947164.08759842813015,249473.599081367254257,,,,,,,,16.88014,
947831.367782145738602,248405.774606302380562,,,,,,,,14.93231,
950852.644685044884682,245304.111548557877541,,,,,,,,13.09832,
952315.611876636743546,243302.109908133745193,,,,,,,,11.90069,
955003.370734915137291,239306.350065618753433,,,,,,,,15.80975,
956174.723425194621086,236603.638123363256454,,,,,,,,15.91536,
956827.702755898237228,235359.775918632745743,,,,,,,,16.89017,
953347.456364825367928,218429.970800518989563,,,,,,,,10.24353,
955359.359908133745193,215491.594488188624382,,,,,,,,13.20966,
955838.0501968562603,202877.431430444121361,,,,,,,,16.95022,
958620.250984251499176,189064.881889760494232,,,,,,,,27.12589,
961761.664698168635368,177125.44422572851181,,,,,,,,14.21323,
962576.351049870252609,174931.268044620752335,,,,,,,,15.96113,
1448762.025918632745743,1113715.483267709612846,,,30.24361,,,,,,
1456629.032808393239975,1114668.312335953116417,,,32.58853,,,,,,
1466818.132874011993408,1116343.149278208613396,,,29.79001,,,,,,
1490132.19914698600769,1124940.835301831364632,,,22.72327,,,,,,
1516081.036089241504669,1117268.978674545884132,,,47.27503,,,,,,
1516685.145669296383858,1116857.140091866254807,,,24.65652,,,,,,
1516858.769685044884682,1116441.811351701617241,,,7.38338,,,,,,
1516656.478346452116966,1112548.681102365255356,,,18.21606,,,,,,
1536451.347769021987915,1050944.81988188624382,,,21.15765,,,,,,
1924365.235564306378365,1318695.916010499000549,40.94161,,,,,,,,
1975381.309711292386055,755763.312007874250412,,,,,,,24.97844,,
2017159.306102365255356,752036.39829395711422,,,,,,,17.59577,,
2018263.18996062874794,751563.471456691622734,,,,,,,19.36042,,
2019604.521981626749039,750810.036417320370674,,,,,,,7.90418,,
2091216.624343827366829,790557.182086616754532,,,,,,,8.29541,,
2091782.941929131746292,790963.071522310376167,,,,,,,13.19487,,
1847102.876312330365181,1502665.989501312375069,0.00000,,,,,,,,
1847102.763451442122459,1502618.83333332836628,9.37775,,,,,,,,
1847485.538385823369026,1504276.088582679629326,14.93032,,,,,,,,
1847996.846456691622734,1507867.799868762493134,2.07386,,,,,,,,
1847969.002952754497528,1507897.335301831364632,0.00000,,,,,,,,
2017299.462926506996155,1413207.543963253498077,16.86014,,,,,,,,
2017508.567257210612297,1412588.522309705615044,19.06754,,,,,,,,
2018353.574475064873695,1411869.578412070870399,18.87862,,,,,,,,
2018664.678805768489838,1411456.782152235507965,17.24077,,,,,,,,
2018838.023622050881386,1411101.854986876249313,22.38432,,,,,,,,
2020587.788057744503021,1410936.104002624750137,26.87014,,,,,,,,
2230333.733923882246017,1169599.524278208613396,23.16026,,,,,,,,
2236110.628280833363533,1174010.81003937125206,26.70014,,,,,,,,
2236364.471784770488739,1174244.501640424132347,24.91574,,,,,,,,
1214005.413385823369026,890349.008858263492584,,,19.91286,,,,,,
1214023.950459316372871,890181.322178483009338,,,12.81472,,,,,,
1214236.809055119752884,889676.405183732509613,,,18.16577,,,,,,
1225108.302493438124657,878347.88418635725975,,,12.19969,,,,,,
1226774.158464565873146,874917.707349076867104,,,9.04347,,,,,,
1228125.720472440123558,869303.218175858259201,,,24.86630,,,,,,
1227909.795603677630424,869878.642388448119164,,,21.44116,,,,,,
1228154.22670604288578,870556.747047245502472,,,28.46250,,,,,,
1228913.706364825367928,870858.952427819371223,,,4.79289,,,,,,
1229147.468503937125206,870752.129265084862709,,,7.38338,,,,,,
1229502.859251961112022,870477.778543308377266,,,14.07885,,,,,,
1236195.626312330365181,860851.054461941123009,,,42.71474,,,,,,
1236497.335301831364632,861050.376968502998352,,,34.62256,,,,,,
1236677.183398947119713,861126.314304456114769,,,23.90074,,,,,,
757820.076443567872047,877765.001640424132347,,,,4.61999,,,,,
453915.185367450118065,1300668.094816267490387,,,,,13.75558,,,,
