,X,Y,Long,Lat,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,X_new,Y_new
189,-123.362561306,45.2083210769,574747.8482,1273449.539,,,,,,13.69779,,,,-2118386.94656,2775990.71091
190,-123.155373658,45.2314419547,628386.5424,1280080.696,,,,,,6.12503,,,,-2102062.51675,2773856.51199
191,-123.069577489,45.2196226555,650343.0408,1275070.487,,,,,,3.48691,,,,-2095971.4286,2770700.13124
192,-123.076498405,45.2595027619,649016.8094,1289659.034,,,,,,9.66551,,,,-2095246.08936,2775109.21767
193,-123.077450423,45.2809133892,649016.8094,1297469.064,,,,,,8.75686,,,,-2094648.49138,2777415.19692
194,-123.035448267,45.2765802356,659774.02,1295553.395,,,,,,11.60144,,,,-2091622.74419,2776027.62253
195,-123.0362439,45.2947592161,659774.02,1302184.553,,,,,,23.0503,,,,-2091115.24552,2777985.40719
196,-123.064450219,45.2977799031,652553.4266,1303510.784,,,,,,4.00504,,,,-2093143.21904,2778928.74194
197,-123.046388976,45.3952212895,658300.4295,1338876.956,,,,,,8.53249,,,,-2088742.41673,2788929.25009
198,-123.03619903,45.3853350374,660805.5334,1335192.98,,,,,,3.33407,,,,-2088285.29524,2787650.42422
199,-123.097467082,45.3568930317,644743.3969,1325319.924,,,,,,19.77448,,,,-2093778.32881,2785963.784
200,-123.105197538,45.3502505346,642680.3702,1322962.179,,,,,,8.66146,,,,-2094567.16371,2785425.43096
201,-122.890517465,45.3035067727,697350.5778,1304247.58,,,,,,9.25799,,,,-2079875.75332,2775721.27194
202,-122.889095177,45.2829146675,697497.9368,1296732.269,,,,,,18.81242,,,,-2080407.98047,2773491.36348
203,-122.904917564,45.2777363349,693371.8834,1294963.96,,,,,,11.32992,,,,-2081760.14415,2773284.91433
204,-123.1748772,45.0959221888,621755.3851,1230862.773,,,,,,2.77507,,,,-2107782.96763,2759825.69375
205,-123.16951176,45.0661186982,622786.8985,1219958.203,,,,,,16.25035,,,,-2108313.32671,2756525.45457
206,-123.167408164,45.0451370173,623081.6166,1212295.533,,,,,,7.32075,,,,-2108812.87775,2754239.03699
207,-123.169066849,45.0066778246,622197.4623,1198296.423,,,,,,15.64824,,,,-2110144.94468,2750170.13803
208,-123.329989353,44.9745407673,580200.1331,1187981.29,,,,,,8.66146,,,,-2123312.27671,2750324.23862
209,-123.132193285,45.0863848538,632659.9547,1227031.438,,,,,,19.03796,,,,-2104861.60579,2757861.59614
210,-123.146581326,44.9635154728,627502.3881,1182381.645,,,,,,21.98131,,,,-2109799.80457,2745062.50947
211,-123.141460881,44.9510950042,628681.2605,1177813.514,,,,,,11.83573,,,,-2109802.15937,2743622.57038
212,-123.093198782,44.9032512317,640617.3435,1159983.07,,,,,,10.58962,,,,-2107650.46004,2737442.11223
213,-123.299724778,44.9020690752,587126.0084,1161309.301,,,,,,11.9791,,,,-2123311.2958,2741913.24699
214,-123.325516352,44.9528089358,581084.2874,1180023.901,,,,,,11.64795,,,,-2123660.25213,2747905.11494
215,-122.937097755,44.8989668249,680993.7232,1157183.247,,,,,,3.6071,,,,-2095968.27675,2733531.95868
216,-123.008693501,45.1348209565,665078.9458,1243683.01,,,,,,24.90561,,,,-2094029.82318,2760304.59941
217,-122.725515101,44.9606599825,736400.726,1178108.233,,,,,,26.16301,,,,-2078037.60264,2735479.80809
218,-122.68886192,44.9249660117,745536.9871,1164845.919,,,,,,16.47702,,,,-2076364.03195,2730862.00905
219,-122.681038802,44.8984249764,747305.2957,1155120.222,,,,,,25.97112,,,,-2076589.98991,2727852.72567
220,-122.583416533,44.9527945607,773093.1294,1174276.898,,,,,,2.92493,,,,-2067520.92881,2731539.34739
221,-122.566945556,44.9700731889,777513.9009,1180465.977,,,,,,7.00171,,,,-2065742.87594,2733029.37245
222,-122.474732052,44.9215455872,800943.9898,1162193.456,,,,,,16.78353,,,,-2060244.67861,2725835.78925
223,-122.400338069,44.9090454236,820100.6663,1157183.247,,,,,,26.72686,,,,-2054986.85323,2722887.2652
224,-122.422761967,44.8815829665,814058.9453,1147310.192,,,,,,25.10026,,,,-2057526.09745,2720433.03401
225,-122.453359322,45.0140987203,807280.429,1195791.318,,,,,,21.94586,,,,-2055794.47547,2735276.06786
226,-122.369702845,45.0538909562,829236.9274,1209790.429,,,,,,51.18413,,,,-2048248.32089,2737727.45345
227,-122.35953301,45.0390949372,831742.0313,1204338.144,,,,,,39.8433,,,,-2047929.55497,2735924.93638
