X,Y,Long,Lat,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
-119.978769305107264,42.178435657546515,1453677.3440000000,156661.5658000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.975508149579142,42.178602053960795,1454561.2670000000,156727.8601000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.978657803056038,42.181950781244261,1453699.4420000000,157943.2547000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.970397945833867,42.18524527613647,1455931.3480000000,159158.6494000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.970919595449672,42.190884963867667,1455776.6620000000,161213.7713000000,na,Tb,Basalt,vol.M.hlp.nd.nd.nd.bas,volcanic rocks,Miocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cmix.End,lava flows,basalt,no data,mixed crystals,no data,volcanic
-119.967224832861461,42.193958563117043,1456771.0750000000,162340.7736000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.964828087099363,42.197705110709066,1457411.9190000000,163710.8548000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.966677026833437,42.191349471176913,1456925.7630000000,161390.5559000000,na,Tts,"Tuffaceous sedimentary rocks, tuffs and silicic flows",srt.M.nsr.nd.nd.nd.tfx,terrestrial sedimentary rocks,Miocene,Neogene sedimentary rocks,No data,No data,no data,tuffaceous sedimentary rocks,srx.MIX.Lnd.Gnd.Esd,sedimentary rocks,mixed lithologies,no data,no data,some data,sedimentary
-119.963578695616761,42.191455690981215,1457765.4900000000,161434.7521000000,na,Tb,Basalt,vol.M.hlp.nd.nd.nd.bas,volcanic rocks,Miocene,High Lava Plains Volcanic Province,No data,No data,no data,basalt,flw.BAS.Lnd.Cmix.End,lava flows,basalt,no data,mixed crystals,no data,volcanic
-123.361012756505716,45.644437529138678,580686.7863000000,1432357.5540000000,na,Tbru,"Tillamook Volcanics, upper submarine basaslt lapilli tuff and breccia",vlc.E.ytg.tlv.nd.nd.bas,volcaniclastic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
