X,Y,UNIQUE_ID,DATE,Map_identi,MAP_UNIT_L,MAP_UNIT_N,G_MRG_U_L,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,UNIT,G_ROCK_TYP,LITH_M_U_L,LITH_GEN_U,LTH_RK_TYP,LAYERING,CR_GRN_SIZ,GETEC_PROP,GN_LITH_TY
419409.0982,1257840.816,LS_1086,9/15/10 0:00,Sheet 1 and 2,Talbs,Basaltic sandstone member of the Alsea Formation,srm.EO.kag.als.nd.nd.bsd,marine sedimentary rocks,Eocene/Oligocene,Keasey-Alsea Group,Alsea Formation,No data,no data,basaltic sandstone,no data,no data,no data,no data,no data,no data,sedimentary
428463.6678,1264241.56,LS_1087,9/15/10 0:00,Sheet 1 and 2,Qls,Landslide debris,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
418186.7022,1255784.947,LS_1088,9/15/10 0:00,Sheet 1 and 2,Tidb,Intrusive Depoe Bay Basalt,inv.M.cr.gr.nd.nd.bas,invasive extrusive rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,No data,no data,basalt,no data,no data,no data,no data,no data,no data,plutonic
417577.2995,1246221.401,LS_1089,9/15/10 0:00,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
418843.1765,1233546.839,LS_1090,9/15/10 0:00,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
419317.1415,1233413.552,LS_1091,9/15/10 0:00,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
421745.1279,1231267.185,LS_1093,9/15/10 0:00,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
421975.704199999978,1230820.905,LS_1094,9/15/10 0:00,Sheet 1 and 2,Tchb,Basalt of Cascade Head,vol.E.ytg.chb.nd.nd.bas,volcanic rocks,Eocene,Yachats-Tillamook Group,Basalt of Cascade Head,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
419708.684499999974,1223292.758,LS_1095,9/15/10 0:00,Sheet 1 and 2,Qls,Landslide debris,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
421635.3203,1226470.521,LS_1096,9/15/10 0:00,Sheet 1 and 2,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
420425.6707,1222006.414,LS_1097,9/15/10 0:00,Sheet 1 and 2,Qls,Landslide debris,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
419767.871099999989,1220803.363,LS_1098,9/15/10 0:00,Sheet 1 and 2,Qls,Landslide debris,sed.Q.qsd.ls.nd.nd.mix,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,no data,mixed grained sediments,no data,no data,no data,no data,no data,no data,surficial sediments
419878.438499999989,1219352.355,LS_1099,9/15/10 0:00,Sheet 1 and 2,Tn,Nestucca Formation,srm.E.nhg.nes.nd.nd.sms,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
417732.260699999984,1214433.762,LS_1100,9/15/10 0:00,Sheet 1 and 2,Ty,Yamhill Formation,srm.E.eyg.yhl.nd.nd.sms,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,no data,slope mudstone,no data,no data,no data,no data,no data,no data,sedimentary
757533.6689,1309894.837,LS_1101,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
757559.130299999961,1309483.202,LS_1102,5/11/09 0:00,na,Tcr,Columbia River Basalt Group,vol.M.cr.nd.nd.nd.bas,volcanic rocks,Miocene,Columbia River Basalt Group,No data,No data,no data,basalt,no data,no data,no data,no data,no data,no data,volcanic
