X,Y,nlcd_2011_,nlcd_2001_,nlcd_2006_
-123.5203062,45.78746538,52,71,52
-123.5390528,45.7922375,42,42,42
-123.5476527,45.83446867,42,42,42
-123.7840148,45.93160885,43,43,43
-123.7768635,45.93827772,42,42,42
-123.7789473,45.92406781,43,43,43
-123.8593469,45.97112891,42,42,42
-123.7107773,45.92756627,52,52,52
-123.7000481,45.92219819,52,52,52
-123.703005,45.89219725,52,42,71
-123.7475514,45.88127041,42,42,42
-123.7939769,45.87310396,42,42,42
-123.8589748,45.86600658,52,42,31
-123.5777622,46.10455657,71,42,31
-123.4645945,45.93968956,41,41,41
-123.491968,45.9090793,43,43,43
-123.5712258,45.90743973,52,52,52
-123.5448962,45.86971563,42,71,52
-123.5359586,46.05066176,42,42,42
-123.494842,46.09698889,42,42,42
-123.4599766,46.08574191,42,42,42
-123.5639996,46.14048803,43,43,43
-123.5680405,46.15492768,42,42,42
-123.4867853,46.18733449,42,42,42
-123.5185162,46.1820818,43,43,43
-123.5192663,46.13032211,52,42,71
-123.6939897,46.11480803,43,43,43
-123.2057142,46.01585886,52,52,52
-123.2170363,46.00993927,42,42,42
-123.2192547,46.01999341,52,31,52
-123.203422,46.00418933,52,52,52
-123.1916246,46.00001319,52,43,31
-123.1416066,46.03469434,42,42,42
-123.1288708,46.03538334,43,43,43
-123.1057173,46.0112418,42,42,42
-123.0977618,46.00212099,52,42,31
-123.0775086,46.04177229,52,52,52
-122.98865,45.98709717,43,43,43
-123.4053509,46.09680149,43,43,43
-123.4109475,46.03562467,42,42,42
-123.392336,45.94310548,42,52,42
-123.409596,45.94065852,42,42,42
-123.1952967,46.0779403,42,42,42
-123.1838261,46.08103122,42,42,42
-123.1126286,46.11173022,52,71,52
-123.031513,46.1171355,71,71,71
-123.0418148,46.12661378,43,43,43
-123.1309701,45.95489969,21,21,21
-123.154146,45.95478344,42,52,42
-123.1595305,45.98336128,43,43,43
-123.3994389,45.69428727,42,42,42
-123.4101015,45.68836213,42,42,42
-123.3879459,45.70670106,42,42,42
-123.38894,45.72648837,42,42,42
-123.4016072,45.76013815,42,42,42
-123.4170264,45.81352878,42,42,42
-123.3948389,45.80922655,42,42,42
-123.3780222,45.84279217,42,42,42
-123.3883725,45.85304954,71,42,71
-123.3893694,45.87283498,42,42,42
-123.3153068,45.83784404,52,52,52
-123.0926652,45.72331068,52,42,52
-123.13481,45.73611608,52,52,52
-122.9946496,45.68582053,43,43,43
-123.0263182,45.77650451,52,31,52
-123.0376295,45.77100507,42,42,42
-123.0196022,45.80777573,52,52,52
-123.0355686,45.81592093,42,52,52
-122.9878406,45.8084533,42,42,42
-122.9548023,45.80631935,42,42,42
-123.1262927,45.77713845,42,42,42
-123.1396058,45.76511583,43,43,43
-123.0721779,45.87171773,42,42,42
-123.0706221,45.84992319,52,71,52
-123.3167686,45.89117288,42,42,42
-123.4142629,45.88434869,42,42,42
-123.3244225,45.71754912,42,42,42
-123.3300881,45.73884084,42,42,42
-123.3801297,45.74651676,42,42,42
-123.0182569,45.90886106,42,42,42
-122.9719558,45.85567915,52,52,52
-122.9983729,45.70514589,42,42,42
-123.0153019,45.7096348,42,42,42
-122.9854814,45.70056898,43,43,43
-122.9713004,45.6927838,42,52,52
-122.9357264,45.71091195,43,43,43
-123.2891345,45.60882395,42,42,42
-123.2046152,45.55096916,52,42,52
-123.1978382,45.54142189,52,42,42
-123.1875777,45.53114578,43,43,43
-123.1831041,45.52154463,43,43,43
-123.2107973,45.52333097,52,42,71
-123.1529993,45.47977734,43,43,43
-123.1696088,45.56552144,52,52,52
-123.374921,45.46926257,42,42,42
-123.3669324,45.48199487,42,42,42
-123.3711003,45.49644985,42,42,42
-123.3580974,45.51253941,21,21,21
