,UNIQUE_ID,Long,Lat,DATE,Northeast,North,Center,West,SouthEast,Northwest,East,South,SouthWest,maxdewpti,maxhumidity,maxpressurei,maxtempi,maxwspdi,mindewpti,minhumidity,minpressurei,mintempi,precipi,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,G_ROCK_TYP,GN_LITH_TY,nlcd_2011_,nlcd_2001_,nlcd_2006_,Root_Moist,Precip_Mon,Soil_Moist,Soil_Moist_Depth,Soil_Temp,Vegetation
31,LS_151,-122.434768,44.39981981,1/23/06 0:00,,,,30.10634,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.9773,669.6448,30.2064,31.58,275.22,0.51600003
32,LS_152,-122.4324831,44.3997259,1/23/06 0:00,,,,32.57583,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tolb,Little Butte Formation,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,631.9773,669.6448,30.2064,31.58,275.22,0.51600003
33,LS_153,-122.4207138,44.3984097,1/23/06 0:00,,,,36.32924,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,631.9773,669.6448,30.2064,31.58,275.22,0.51600003
34,LS_154,-122.419615,44.39859003,1/23/06 0:00,,,,32.84983,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,631.9773,669.6448,30.2064,31.58,275.22,0.51600003
35,LS_155,-122.4187163,44.39847212,1/23/06 0:00,,,,39.25994,,,,,,37,87,30.56,42,6,34,81,30.41,37,0,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,631.9773,669.6448,30.2064,31.58,275.22,0.51600003
36,LS_156,-122.4098661,44.39418845,2/13/06 0:00,,,,31.71855,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,565.1683,174.496,23.2035,30.69,273.35,0.50100005
37,LS_157,-122.4077854,44.39395136,2/13/06 0:00,,,,41.11033,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,565.1683,174.496,23.2035,30.69,273.35,0.50100005
38,LS_158,-122.4064144,44.39417248,2/13/06 0:00,,,,18.16434,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,565.1683,174.496,23.2035,30.69,273.35,0.50100005
39,LS_159,-122.3998677,44.3961842,2/13/06 0:00,,,,25.19342,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tub,Basalt and basaltic andesite flows and flow breccias,volcanic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mafic composition lithologies,volcanic,21,21,21,565.1683,174.496,23.2035,30.69,273.35,0.50100005
40,LS_161,-122.385311,44.40452279,2/13/06 0:00,,,,27.13514,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,565.1683,174.496,23.2035,30.69,273.35,0.50100005
41,LS_162,-122.3822037,44.40515329,2/13/06 0:00,,,,33.99067,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,565.1683,174.496,23.2035,30.69,273.35,0.50100005
42,LS_163,-122.3810901,44.40507129,2/13/06 0:00,,,,29.54756,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,565.1683,174.496,23.2035,30.69,273.35,0.50100005
43,LS_164,-122.3757933,44.40521314,2/13/06 0:00,,,,21.29152,,,,,,46,93,30.53,55,14,27,49,30.42,39,0.01,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,565.1683,174.496,23.2035,30.69,273.35,0.50100005
44,LS_168,-122.3239932,44.4036923,1/16/08 0:00,,,,25.11218,,,,,,32,93,30.64,41,13,25,61,30.54,28,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,42,42,42,600.41156,357.40158,27.723398,38.699997,273.09,0.51600003
45,LS_169,-122.3105731,44.4048634,1/16/08 0:00,,,,44.75232,,,,,,32,93,30.64,41,13,25,61,30.54,28,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,602.6772,344.2816,28.040998,34.26,273.23,0.51600003
46,LS_170,-122.3053621,44.40606397,1/16/08 0:00,,,,33.31573,,,,,,32,93,30.64,41,13,25,61,30.54,28,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,602.6772,344.2816,28.040998,34.26,273.23,0.51600003
47,LS_171,-122.2746313,44.40270128,10/1/08 0:00,,,,15.64961,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Dike,Dike,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,plutonic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
48,LS_174,-122.2722373,44.40274277,10/1/08 0:00,,,,39.81525,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
49,LS_176,-122.2690046,44.40271005,10/1/08 0:00,,,,34.72658,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
50,LS_179,-122.2641677,44.40023661,10/1/08 0:00,,,,43.3515,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
51,LS_180,-122.2635822,44.40033452,10/1/08 0:00,,,,45.25109,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
52,LS_181,-122.2612788,44.39988077,10/1/08 0:00,,,,35.82611,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tib1,Intrusive basalt and andesite intrusions,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,plutonic,42,42,42,501.2116,137.696,25.091099,26.9,279.86,0.669
53,LS_182,-122.2606398,44.39865792,10/1/08 0:00,,,,16.66867,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tib1,Intrusive basalt and andesite intrusions,intrusive rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,plutonic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
54,LS_183,-122.2579223,44.39835032,10/1/08 0:00,,,,26.3765,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
55,LS_184,-122.2572275,44.39808182,10/1/08 0:00,,,,34.79692,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
56,LS_185,-122.2566879,44.39801015,10/1/08 0:00,,,,32.89793,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,501.2116,137.696,25.091099,26.9,279.86,0.669
57,LS_186,-122.2543852,44.39757772,10/1/08 0:00,,,,30.345,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,501.2116,137.696,25.091099,26.9,279.86,0.669
58,LS_187,-122.2535676,44.39717199,10/1/08 0:00,,,,30.4599,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
59,LS_188,-122.2528737,44.39708284,10/1/08 0:00,,,,37.20944,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,21,21,21,501.2116,137.696,25.091099,26.9,279.86,0.669
60,LS_189,-122.2519587,44.3967197,10/1/08 0:00,,,,33.60642,,,,,,57,94,30.02,77,13,39,47,29.88,42,0,Tu,"Tuffaceous sedimentary rocks, basalt flows, and tuffs, undivided",volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,mixed lithologies,volcanic,42,42,42,501.2116,137.696,25.091099,26.9,279.86,0.669
61,LS_190,-122.2312346,44.40228235,5/6/08 0:00,,,,29.01514,,,,,,48,87,30.13,64,20,36,54,30.08,46,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,545.7303,124.352,25.906399,26.56,282.29,0.77300006
62,LS_191,-122.223269,44.40672585,8/17/07 0:00,,,,27.8332,,,,,,52,77,30.07,78,15,43,32,29.98,50,0,Tut,Welded to nonwelded ash-flow tuff,volcaniclastic rocks,Oligocene/Miocene,Little Butte Volcanics,No data,ashflow tuff,volcanic,21,21,21,447.48648,26.3168,22.0523,22.05,286.35,0.88500005
63,LS_192,-121.925249,44.4321554,6/28/06 0:00,,,35.50814,,,,,,,52,74,29.99,88,8,41,22,29.94,53,0,Qyc,Younger cinder deposits,vent and pyroclastic rocks,Recent,Late High Cascade Volcanics,Cascade Platform Lavas,mixed lithologies,volcanic,21,21,21,520.52167,101.1008,22.472399,23.849998,281.35,0.74300003
64,LS_209,-120.2886945,42.42321238,7/19/07 0:00,,,,,,,,30.60151,,43,76,30.09,73,15,30,20,29.99,41,0,Qal1,Alluvium,sediments,Quaternary,Quaternary surficial deposits,Alluvial deposits,mixed grained sediments,surficial sediments,21,21,21,,,,,,
65,LS_210,-120.2798776,42.01069002,7/20/07 0:00,,,,,,,,18.39977,,41,61,30.03,78,23,25,14,29.98,39,0,Tmst,Tuffs,volcaniclastic rocks,Oligocene/Miocene,Paleogene volcanic rocks,No data,mixed lithologies,volcanic,42,42,42,434.614,1.92,14.852499,14.85,288.49,0.48900002
66,LS_241,-121.5803888,45.44438958,9/17/07 0:00,,35.55968,,,,,,,,54,88,30.09,57,0,54,88,30.09,57,0,Td,Dalles Formation,volcaniclastic rocks,Miocene,Dalles Group,Dalles Formation,mixed lithologies,volcanic,42,42,42,359.3024,20.352,16.9937,16.99,285.97,0.739
67,LS_242,-121.5706733,45.41622448,9/18/07 0:00,,34.55189,,,,,,,,45,67,30.12,57,12,45,63,30.08,55,0,Qhpc,Pyroclastic flow and debris-flow deposits,volcaniclastic rocks,Quaternary,Late High Cascade Volcanics,Mt. Hood Volcano,intermediate composition lithologies,volcanic,42,42,42,221.0624,12.243199,12.564899,12.57,288.02002,0.689
68,LS_246,-121.5446546,45.60054133,9/25/07 0:00,,28.67756,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0,Qbhl,"Basaltic andesite of Booth Hill, middle normal-polarity lavas",volcanic rocks,Pleistocene,Late High Cascade Volcanics,Booth Hill volcanics,basalt,no data,21,21,21,281.7088,18.2144,15.092899,15.09,284.63,0.717
69,LS_247,-121.5102187,45.64757058,9/25/07 0:00,,21.81927,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0,Qmfs,"Missoula flood deposits, silts and sands",sediments,Pleistocene,Quaternary surficial deposits,Missoula Flood deposits,fine grained sediments,surficial sediments,82,82,82,281.7088,18.2144,15.092899,15.09,284.63,0.717
70,LS_248,-121.5109993,45.67575796,9/25/07 0:00,,30.66776,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0,Qplh,Hood River Lahar,volcaniclastic rocks,Pleistocene,Late High Cascade Volcanics,Mt. Hood Volcano,mixed lithologies,volcanic,42,42,42,281.7088,18.2144,15.092899,15.09,284.63,0.717
71,LS_250,-121.5053431,45.69591162,9/25/07 0:00,,21.96362,,,,,,,,46,87,30.25,50,0,46,87,30.25,50,0,Af,Modern fill and construction material,sediments,Recent,Quaternary surficial deposits,Man-made fill deposits,mixed grained sediments,surficial sediments,42,42,42,407.82718,23.104,19.6377,20.08,281.7,0.717
72,LS_251,-121.5017486,45.7056613,9/25/07 0:00,,16.99622,,,,,,,,47,74,30.21,75,24,35,35,30.12,44,0,Tgsb,Member Of Sentinel Bluffs,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,mixed lithologies,volcanic,23,23,23,407.82718,23.104,19.6377,20.08,281.7,0.717
73,LS_253,-121.5019627,45.70529035,9/25/07 0:00,,43.81122,,,,,,,,47,74,30.21,75,24,35,35,30.12,44,0,Tgsb,Member Of Sentinel Bluffs,volcanic rocks,Miocene,Columbia River Basalt Group,Grande Ronde Basalt,mixed lithologies,volcanic,21,21,21,407.82718,23.104,19.6377,20.08,281.7,0.717
74,LS_257,-123.3795332,45.00738821,7/25/06 0:00,,,,,,13.94305,,,,57,81,29.98,88,15,46,28,29.86,57,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,21,21,21,591.7809,5.1071997,27.2551,27.26,289.83005,0.77300006
75,LS_258,-123.1128904,44.93202098,6/14/06 0:00,,,,,,9.28774,,,,54,94,30.1,64,14,49,62,30.07,55,0.02,Tms,Marine sedimentary rocks,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Scotts Mills Formation,mixed lithologies,sedimentary,41,41,41,245.24489,23.404799,24.09,24.09,289.51,0.79800004
76,LS_259,-123.0911279,44.9311049,6/14/06 0:00,,,,,,21.89788,,,,54,94,30.1,64,14,49,62,30.07,55,0.02,Tms,Marine sedimentary rocks,marine sedimentary rocks,Oligocene,Yaquina-Pittsburg Bluff Group,Scotts Mills Formation,mixed lithologies,sedimentary,21,21,21,245.24489,23.404799,24.09,24.09,289.51,0.79800004
77,LS_260,-123.7628828,45.08978714,7/25/06 0:00,,,,,,27.31138,,,,58,83,30.01,90,14,42,26,29.89,59,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,slope mudstone,sedimentary,21,21,21,562.2641,19.5136,27.0847,27.08,286.37006,0.99000007
78,LS_261,-119.0213684,45.88486508,10/17/07 0:00,,19.47228,,,,,,,,40,100,29.99,56,24,34,47,29.63,36,T,Tfsg,Basalt of Sentinel Gap,volcanic rocks,Miocene,Columbia River Basalt Group,Wanapum Basalt,basalt,volcanic,52,52,52,42.610397,23.4368,9.596399,9.67,285.47998,0.179
