UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos,MAP_UNIT_L,MAP_UNIT_N,GEO_GENL_U,AGE_NAME,TERRANE_GR,FORMATION,MEMBER,G_ROCK_TYP,nlcd_2006_,Slope
LS_8443,-123.8069335,44.3338673,1996-1997, ,0,0,Tt,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,52,28.3854
LS_8444,-123.7565994,44.42622451,1996-1997, ,0,0,Tt,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,52,16.45289
LS_8445,-123.488347,44.5487393,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,90,13.2084
LS_8446,-123.3875152,44.58370943,1996-1997, ,0,0,water,water,no data,no data,no data,no data,no data,no data,43,3.33499
LS_8447,-123.4132281,44.47072404,1996-1997, ,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,no data,no data,mixed grained sediments,41,20.16152
LS_8448,-123.5567487,44.34203778,1996-1997, ,0,0,Tsr,Siletz River volcanic series,volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,No data,pillow lavas,42,27.45956
LS_8449,-123.449187,44.60153332,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,52,1.85137
LS_8450,-123.8667313,44.70962686,1996-1997, ,0,0,Tt,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,90,20.71974
LS_8451,-123.7699729,44.60421319,1996-1997, ,0,0,Tt,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,90,13.94677
LS_8452,-123.2915648,44.63626609,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,81,26.65405
LS_8453,-123.2817588,44.63833239,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,90,20.34202
LS_8454,-123.2693623,44.64470994,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,90,22.21357
LS_8455,-123.2823918,44.63022301,1996-1997, ,0,0,Tesv,Basalt and pillow basalt,marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,no data,pillow lavas,81,8.25358
LS_8456,-123.5240267,44.86139916,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,8.16101
LS_8457,-123.5742615,44.89067044,1996-1997, ,0,0,Tsr,Siletz River Volcanics,volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,No data,pillow lavas,90,17.80762
LS_8458,-123.6049563,44.88498529,1996-1997, ,0,0,Tt1,Tyee Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,14.99659
LS_8459,-123.5691059,44.87907605,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,16.74559
LS_8460,-123.5163931,44.87022226,1996-1997, ,0,0,Ti2,Mafic intrusions,intrusive rocks,Oligocene,Coastal Intrusives Group,Mary's Peak Intrusives,No data,gabbro,82,8.66146
LS_8461,-123.5461777,45.38171128,1996-1997, ,0,0,Tsbr,"Siletz River Volcanics, basalt lapilli breccia unit",marine volcanic rocks,Paleocene/Eocene,Siletz Terrane,Siletz River Volcanics,No data,basalt,22,36.80306
LS_8462,-123.7103929,45.33861707,1996-1997, ,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,90,17.14243
LS_8463,-123.6366763,45.35382901,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,16.75572
LS_8464,-123.6581555,45.37296737,1996-1997, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,36.73884
LS_8465,-123.6149193,45.41528867,1996-1997, ,0,0,Tbr,Submarine basalt tuff and breccia,marine volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,22.28806
LS_8466,-123.6041085,45.33470763,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,17.03376
LS_8467,-123.512215,45.34332172,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,81,12.0389
LS_8468,-123.6349369,45.30709897,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,71,12.85726
LS_8469,-123.2926788,45.41741153,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,41,14.51872
LS_8470,-123.2963469,45.41308699,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,4.1897
LS_8471,-123.2975804,45.41478441,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,81,12.15751
LS_8472,-123.313677,45.42976545,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,82,27.50211
LS_8473,-123.299038,45.41685338,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,81,11.27395
LS_8474,-123.3265174,45.36402718,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,43,9.16814
LS_8475,-123.3799716,45.40547449,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,8.87718
LS_8476,-123.3800061,45.40505826,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,81,11.58978
LS_8477,-123.3864517,45.40314211,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,81,17.7135
LS_8478,-123.4696397,45.35836463,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,81,9.94562
LS_8479,-123.3964533,45.37966667,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,82,6.51059
LS_8480,-123.4102497,45.38415484,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,52,6.26875
LS_8481,-123.2898147,45.26163801,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,52,9.03666
LS_8482,-123.3352106,45.2687442,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,90,14.97921
LS_8483,-123.3371748,45.26181389,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,7.00171
LS_8484,-123.3387312,45.25494149,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,7.57696
LS_8485,-123.3922699,45.22359668,1996-1997, ,0,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,slope mudstone,11,17.17437
LS_8486,-123.4033386,45.22205942,1996-1997, ,0,0,Tn,Nestucca Formation,marine sedimentary rocks,Eocene,Nestucca-Hamlet Group,Nestucca Formation,No data,slope mudstone,11,2.92493
LS_8487,-123.3409896,45.2545055,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,36.01048
LS_8488,-123.307892,45.42269808,1996-1997, ,0,0,Tidb,Diabase,intrusive rocks,Eocene,Coastal Intrusives Group,Diabase of Lee's Falls,No data,basalt,81,23.96743
LS_8489,-123.6715754,45.30550995,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,11,26.55083
LS_8490,-123.5294414,45.48833716,1996-1997, ,0,0,Trsk,Sandstone of Trask River,marine sedimentary rocks,Eocene,Umpqua Group,Trask River Formation,No data,turbidite,42,23.46643
LS_8491,-123.532016,45.48717629,1996-1997, ,0,0,Trsk,Sandstone of Trask River,marine sedimentary rocks,Eocene,Umpqua Group,Trask River Formation,No data,turbidite,41,31.9434
LS_8492,-123.5224836,45.48831967,1996-1997, ,0,0,Thpb,Basalt of Hembre Ridge,volcanic rocks,Eocene,Hembre Ridge-Three Rivers Group,No data,No data,pillow lavas,71,25.33853
LS_8493,-123.5305665,45.48645041,1996-1997, ,0,0,Trsk,Sandstone of Trask River,marine sedimentary rocks,Eocene,Umpqua Group,Trask River Formation,No data,turbidite,42,20.9586
LS_8494,-123.536127,45.48750375,1996-1997, ,0,0,Thpb,Basalt of Hembre Ridge,volcanic rocks,Eocene,Hembre Ridge-Three Rivers Group,No data,No data,pillow lavas,41,30.29147
LS_8495,-123.5119501,45.53636581,1996-1997, ,0,0,Thpb,Basalt of Hembre Ridge,volcanic rocks,Eocene,Hembre Ridge-Three Rivers Group,No data,No data,pillow lavas,82,26.83708
LS_8496,-123.5010455,45.52594277,1996-1997, ,0,0,Thpb,Basalt of Hembre Ridge,volcanic rocks,Eocene,Hembre Ridge-Three Rivers Group,No data,No data,pillow lavas,52,22.11
LS_8497,-123.6486949,45.48308081,1996-1997, ,0,0,Ty,Yamhill Formation,marine sedimentary rocks,Eocene,Elkton-Yamhill Group,Yamhill Formation,No data,slope mudstone,82,15.00527
LS_8498,-123.6522322,45.48385183,1996-1997, ,0,0,Qls,Landslide deposits,sediments,Quaternary,Quaternary surficial deposits,Landslide deposits,No data,mixed grained sediments,82,20.22605
LS_8499,-123.6875318,45.49844127,1996-1997, ,0,0,Tet,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,82,10.10967
LS_8500,-123.6882317,45.49646081,1996-1997, ,0,0,Tet,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,21,15.93122
LS_8501,-123.6830193,45.4964503,1996-1997, ,0,0,Tet,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,82,10.82721
LS_8502,-123.6944649,45.49364546,1996-1997, ,0,0,Tet,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,90,23.97367
LS_8503,-123.6977348,45.49352732,1996-1997, ,0,0,Tet,Tyee Formation,marine sedimentary rocks,Eocene,Tyee Group,Tyee Formation,Tyee Mountain member,turbidite,82,42.64609
LS_8504,-123.7276163,45.45113739,1996-1997, ,0,0,Tbl,"Tillamook Volcanics, lower porphyritic basalt flows",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,basalt,82,14.00908
LS_8505,-123.7302406,45.48597644,1996-1997, ,0,0,Tpb,"Tillamook Volcanics, submarine basalt",volcanic rocks,Eocene,Yachats-Tillamook Group,Tillamook Volcanics,No data,pillow lavas,82,34.13517
