UNIQUE_ID,Long,Lat,DATE,MOVE_CLASS,Annual_Cos,Repair_Cos
LS_297,-123.4436671,45.60526354,7/1/08,Fill Failure,0,0
LS_298,-123.4413571,45.60603944,7/1/08,Rockfall,240.5599976,324424
LS_299,-123.4377754,45.60763042,7/1/08,Fill Failure,692.3300171,1995160
LS_300,-123.4360719,45.60836984,7/1/08,Rockfall,240.5599976,215566
LS_301,-123.435874,45.60851791,7/1/08,Fill Failure,0,0
LS_302,-123.4343027,45.60867891,7/1/08,Fill Failure,0,0
LS_303,-123.4278936,45.61050765,7/1/08,Fill Failure,0,0
LS_304,-123.4238938,45.61216938,7/1/08,Fill Failure,0,0
LS_305,-123.4174588,45.62036906,7/2/08,Rockfall,23.84000015,89969.89844
LS_306,-123.416015,45.62123412,7/2/08,Fill Failure,0,0
LS_307,-123.4126429,45.62061265,7/2/08,Rockfall,23.84000015,264428
LS_308,-123.4124535,45.62068062,7/2/08,Fill Failure,0,0
LS_309,-123.4096193,45.62017119,7/2/08,Landslide,0,0
LS_310,-123.4065863,45.62085767,7/2/08,Fill Failure,0,0
LS_311,-123.4058325,45.62068223,7/2/08,Rockfall,2178.429932,464712
LS_312,-123.4052018,45.62068474,7/2/08,Fill Failure,0,0
LS_313,-123.4047751,45.62060006,7/2/08,Fill Failure,490.3800049,235453
LS_314,-123.4038887,45.62057879,7/2/08,Fill Failure,0,0
LS_315,-123.4007048,45.62110319,7/2/08,Rockfall,0,45382.89844
LS_316,-123.4008305,45.621003,7/2/08,Rockfall,0,46152.80078
LS_317,-123.3890371,45.61674986,7/2/08,Rockfall,2495.199951,596650
LS_318,-123.3869829,45.61682087,7/2/08,Fill Failure,0,0
LS_319,-123.385924,45.61724441,7/2/08,Rockfall,481.1199951,593037
LS_320,-123.3859212,45.61712539,7/2/08,Fill Failure,0,0
LS_321,-123.3851138,45.6174887,7/2/08,Fill Failure,0,0
LS_322,-123.3844272,45.61790562,7/2/08,Fill Failure,0,0
LS_323,-123.3836414,45.61862561,7/2/08,Rockfall,802.5999756,288169
LS_324,-123.3835539,45.61852763,7/2/08,Rockfall,827.5200195,0
LS_325,-123.3827839,45.61909213,7/2/08,Fill Failure,0,0
LS_326,-123.3818729,45.61967757,7/2/08,Fill Failure,0,0
LS_327,-123.3804521,45.62017347,7/7/08,Fill Failure,0,0
LS_328,-123.3728818,45.62517321,7/7/08,Fill Failure,4858.149902,1436560
