X,Y,UNIQUE_ID,TYPE_MOVE,Annual_Cos,Repair_Cos
300724.1094,297808.0801,LS_207, ,0,0
301527.8687,298056.2678,LS_208, ,0,0
417355.8024,74849.50521,LS_209, ,0,0
416735.9291,27704.7967,LS_210, ,0,0
308685.7056,395696.9522,LS_211, ,414.480011,51107.19922
308854.7392,395960.663,LS_212, ,708.6799927,112343
308886.2786,396217.5359,LS_213, ,414.480011,23982.59961
308903.1637,396360.4466,LS_214, ,708.6799927,66345.5
308933.1182,396480.3436,LS_215, ,414.480011,118392
309246.5364,396531.3236,LS_216, ,708.6799927,148161
309653.2902,396036.7578,LS_217, ,974.2999878,401870
310261.916,396200.6406,LS_218, ,1915.900024,330922
310572.549,396678.574,LS_219, ,708.6799927,145734
310769.4897,396954.9922,LS_220, ,708.6799927,69790.29688
311112.2193,396987.1078,LS_221, ,736.3300171,66202
311244.1642,397037.3979,LS_222, ,491.980011,37191
316290.4184,400085.7427,LS_223, ,1127.560059,30062.69922
316416.0728,403745.9975,LS_224, ,846.3200073,314102
316395.9919,403997.3728,LS_225, ,846.3200073,178374
316353.2386,404374.8115,LS_226, ,773.2199707,37191
316296.9466,404853.2768,LS_227, ,773.2199707,183841
316225.4606,405405.2074,LS_228, ,2333.790039,454788
316212.5511,405498.9035,LS_229, ,1692.640015,89478.20313
316153.387,405592.1275,LS_230, ,1692.640015,107111
316108.7009,405734.5493,LS_231, ,1830.280029,979844
316266.6958,406456.3742,LS_232, ,1692.640015,313294
316176.5932,407319.3078,LS_233, ,5674.600098,80824.10156
316171.9466,407367.1654,LS_234, ,5674.600098,38273.19922
316162.0427,407484.613,LS_235, ,223.0500031,39716.5
316192.5041,407624.351,LS_236, ,223.0500031,60052.60156
316253.6939,407778.1839,LS_237, ,1692.640015,329752
316251.1967,407852.7468,LS_238, ,983.960022,40742.60156
315814.5289,410419.9431,LS_239, ,754.5599976,36558.30078
315616.1904,410952.2028,LS_240, ,754.5599976,304447
315554.0575,411025.3289,LS_241, ,1463.23999,25662.40039
316253.0532,407885.4457,LS_242, ,0,0
315387.3036,412647.9756,LS_243, ,754.5599976,1057790
315716.8945,413119.2095,LS_244, ,1108.900024,371263
316985.1438,417114.627,LS_245, ,1692.640015,107851
318496.1953,428396.7676,LS_246, ,0,0
321065.3237,433502.5257,LS_247, ,0,0
321244.9829,436636.1212,LS_248, ,0,15687
321594.5592,438254.3492,LS_249, ,223.0500031,27931.09961
321719.8433,438863.9638,LS_250, ,0,0
321986.1053,439977.839,LS_251, ,0,0
321993.1944,440008.2763,LS_252, ,1692.640015,225389
321989.1271,439936.8132,LS_253, ,511.2200012,346146
519420.8372,374510.5696,LS_254, ,3582.459961,340368
519853.6736,366214.416,LS_255, ,4038.800049,468802
519703.168,365711.3347,LS_256, ,1650.959961,47172.10156
173094.7782,365832.9966,LS_257, ,0,0
193875.0069,356746.5748,LS_258, ,0,0
195548.1931,356657.7225,LS_259, ,3002.629883,1350790
143235.3334,376111.7587,LS_260, ,0,0
514776.8849,460496.5181,LS_261, ,1422.380005,81794.79688
516858.2647,461367.3868,LS_262, ,1207.609985,40832.39844
517335.5651,461534.6215,LS_263, ,1207.609985,47693.89844
517794.9983,461204.0064,LS_264, ,1207.609985,63396.5
518125.5082,461028.2158,LS_265, ,1207.609985,191832
518313.4939,461026.2327,LS_266, ,1207.609985,70154
518535.1622,461118.6371,LS_267, ,0,0
518586.1583,461113.8676,LS_268, ,1207.609985,250809
518619.2668,461114.1755,LS_269, ,0,0
518651.5869,461105.0772,LS_270, ,0,0
518776.4534,461032.4601,LS_271, ,1207.609985,94888.89844
518791.6102,460630.5386,LS_272, ,1422.380005,411213
519000.0934,460496.2977,LS_273, ,986.5,48141.30078
519056.5491,460350.0486,LS_274, ,771.7299805,213308
519075.3754,460205.1601,LS_275, ,771.7299805,53063.39844
519065.0475,460068.88,LS_276, ,771.7299805,16704.19922
519549.5899,459714.8594,LS_277, ,986.5,139544
521968.359,459034.2766,LS_278, ,771.7299805,15711.7998
522021.318,459017.0731,LS_279, ,771.7299805,47662.80078
522108.8157,458955.6568,LS_280, ,771.7299805,29267.5
522312.4772,458692.9031,LS_281, ,771.7299805,27561.59961
522503.34,458508.3299,LS_282, ,771.7299805,136418
522790.9169,458298.0929,LS_283, ,771.7299805,34149.10156
522876.2756,458163.3436,LS_284, ,771.7299805,99554.39844
523389.2622,457897.5839,LS_285, ,771.7299805,0
523884.1919,457305.9524,LS_286, ,986.5,0
523894.6035,457309.7701,LS_287, ,0,0
524118.5105,457079.9993,LS_288, ,771.7299805,213916
525124.6367,455796.1467,LS_289, ,771.7299805,0
157124.2403,424356.3802,LS_290, ,0,0
157440.7213,424711.1342,LS_291, ,0,0
169047.785,432694.1696,LS_292, ,917.2199707,0
169606.9074,432648.9602,LS_293, ,120.2799988,69495.60156
169655.0719,432646.7119,LS_294, ,23.84000015,148700
170190.9946,432499.3207,LS_295, ,0,0
170234.9278,432480.2695,LS_296, ,240.5599976,647566
170397.3412,432458.9533,LS_297, ,0,0
170580.527,432538.6799,LS_298, ,240.5599976,324424
170866.1028,432705.3991,LS_299, ,692.3300171,1995160
171001.8459,432782.7802,LS_300, ,240.5599976,215566
171017.8608,432798.6755,LS_301, ,0,0
171141.0083,432812.1772,LS_302, ,0,0
171647.9107,432997.4648,LS_303, ,0,0
171966.313,433170.9295,LS_304, ,0,0
172500.3418,434063.8881,LS_305, ,23.84000015,89969.89844
172616.2898,434155.9779,LS_306, ,0,0
172876.6816,434077.6123,LS_307, ,23.84000015,264428
172891.708,434084.6389,LS_308, ,0,0
173110.6171,434020.2151,LS_309, ,0,0
173349.7336,434088.0922,LS_310, ,0,0
173407.7945,434066.5231,LS_311, ,2178.429932,464712
173456.969,434065.0622,LS_312, ,0,0
173489.8896,434054.478,LS_313, ,490.3800049,235453
173558.9038,434049.671,LS_314, ,0,0
173809.1334,434099.1446,LS_315, ,0,45382.89844
173798.9412,434088.3623,LS_316, ,0,46152.80078
